EP0001-UPDWEBMOD_00-0000000000000000,7,webMAN MOD v1.47.35,Manager,,http://github.com/aldostools/webMAN-MOD/releases/download/1.47.35/webMAN_MOD_1.47.35_Installer.pkg,,
EP0001-MANAGUNZ0_00-0000000000000000,7,ManaGunZ v1.39,Manager,,https://github.com/Zarh/ManaGunZ/releases/download/1.39/ManaGunZ_v1.39.pkg,,
EP0001-FILEMANAG_00-0000000000000000,7,FileManager v1.39,Manager,,https://github.com/Zarh/ManaGunZ/releases/download/1.39/FileManager_v1.39.pkg,,
UP0001-IRISMAN00_00-VER4860000000000,7,IRISMAN 4.87.1,Manager,,http://github.com/aldostools/IRISMAN/releases/download/4.87.1/IRISMAN_4.87.1.pkg,28316528,
UP0001-HTSS00003_00-0000000000000000,8,Movian v5.0.720,APP,,http://movian.deanbg.com/movian-5.0.720-deank-playstation3.pkg,,
EP1017-NPEB00882_00-GTAIVDIGITAL0001,2,Grand Theft Auto IV [EU][1][GAME][ENG],Fix not required if console activated,2128B0506BC15BAAC994A24DC63A63C0,http://zeus.dl.playstation.net/cdn/EP1017/NPEB00882_00/cEnOKhGHeMCLXSZehWVvCDLNnwGUgxLILSwzqjVlVnTVqiqmwALXqenjYTRuDmTg.pkg,11022785472,6330dfcd1b411cbd94054a1f656c1e014c1907da936e58829920ec46fd20b244
EP1017-NPEB00882_00-GTAIVDIGITAL0001,2,Grand Theft Auto IV [EU][2][Апдейт v1.09],Update v1.09,,http://b0.ww.np.dl.playstation.net/tppkg/np/NPEB00882/NPEB00882_T2/92d00c0a6ce80194/EP1017-NPEB00882_00-GTAIVDIGITAL0001-A0109-V0100-PE.pkg,16347760,6e167035c3117870185bed85e0099f92f5fbdfd69820ee2cb2f2fe3b17b752a2
1GAME0-NPEB00882_00-NPEB008820000001,2,Grand Theft Auto IV [EU][3][Фикс для v1.09],FIX for the game v1.09,,http://getfile.dokpub.com/yandex/get/http://yadi.sk/d/nJ5I7cNZ1lBr9Q,33512640,D7FC7B3FDA940FA48EFF19AA7D78BDDC3BFEA1788E86CE5877298FC7287A6266
1GAME0-NPEB00882_00-NPEB008820000001,2,Grand Theft Auto IV [EU][4][Русификатор][RusText],RusText instead of FRA port from N69,,http://getfile.dokpub.com/yandex/get/http://disk.yandex.ru/d/5Gk3lPsw3JyXmA,96721824,E023242CDE30F7325E8153DB377E0E1CCC73551F0B48F1DC9D02563ED8BABDD5
1GAME0-NPEB00882_00-NPEB008820000001,2,Grand Theft Auto IV [EU][REPACK][RusText],Deleted TV shows,,http://getfile.dokpub.com/yandex/get/http://disk.yandex.ru/d/3wK94AhVhZoQvA,7119938112,9D0889A8E00D3E68646E8D043456189741028633EECC72F14724DAC3AB1F5A5A
EP1017-BLES00229_00-RCKLOSTANDDAMNED,2,Grand Theft Auto IV: TLAD [EU][DLC][1][GAME][ENG],Fix not required if console activated,D78710F4C0979FAD9CDB40C612C94F60,http://zeus.dl.playstation.net/cdn/EP1017/BLES00229_00/s7Ng309OHgtmnMLbJaEaoctwEyffO4ExTu8uRolYcEcYAoVF1QSPtdD3qA9DBk4Kdj0ERi6iMIHADsEAX646ts0JkBwkeHDR23jPT.pkg,2136955360,C4B89DBA07EE5095740B5156635E8E2FB5F2E2D5558F15745D06385D5D7E0D70
2PATCH-BLES00229_00-BLES002290000001,2,Grand Theft Auto IV: TLAD [EU][DLC][2][Фикс DLC],FIX for the DLC The Lost and Damned,,http://getfile.dokpub.com/yandex/get/http://disk.yandex.ru/d/Zd1vntYw5MrclQ,16513968,5A53795553DA13DC8812C0844AB0A97F44136D4968C1C38454111BC0C40E318E
2PATCH-BLES00229_00-BLES002290000001,2,Grand Theft Auto IV: TLAD [EU][DLC][3][Русификатор][RusText],RusText instead of FRA port from N69,,http://getfile.dokpub.com/yandex/get/http://disk.yandex.ru/d/Gs9RWtRPgPXWLA,16622704,F0AB72A4DE81E7613360D40CBD99BD8206447C514CAEB99DE196FC850D4445DD
EP1017-BLES00229_00-RCKBALLADGAYTONY,2,Grand Theft Auto IV: TBoGT [EU][DLC][1][GAME][ENG],Fix not required if console activated,D69ED5F6C7137FCBC83E80A0E101B5CF,http://zeus.dl.playstation.net/cdn/EP1017/BLES00229_00/8XvlfP9mdN01DByPkdJLChwiIG3HcIfmFf1wWQf3e4RrW2PLfBY3MMvWqtYb9SPcjmx7Y1SR1TylF3xNLXQFCjaaB08K21id9oy5o.pkg,2163052000,A890B20FA51083E88739641E0AC3A1A97AD49197764BD93F1DFE81921ECED1F7
2PATCH-BLES00229_00-RCKBALLADGAYTONY,2,Grand Theft Auto IV: TBoGT [EU][DLC][2][Фикс DLC],FIX for the DLC The Ballad of Gay Tony,,http://getfile.dokpub.com/yandex/get/http://disk.yandex.ru/d/CpCGfE9b9X8sDA,18242288,F84145B9B9317D23311F982B8131CCBD8237FDABF4080485881C9247A9C9F327
2PATCH-BLES00229_00-RCKBALLADGAYTONY,2,Grand Theft Auto IV: TBoGT [EU][DLC][3][Русификатор][RusText],RusText instead of FRA port from N69,,http://getfile.dokpub.com/yandex/get/http://disk.yandex.ru/d/z_D5WuirQxYXTA,18291536,E23B4DAC86BF78557860679A4A61785CB3A6ED7262D1EF7822BA1AA2E2878382
